DateTime,X1,X2,X3,X4,Y
2022-01-01 00:00:00,2.1863333333333332,13.76,0.0663,0.1547,521163.8354
2022-01-01 00:10:00,2.138,13.9,0.09100000000000001,0.11050000000000001,449066.62018
2022-01-01 00:20:00,2.1043333333333334,13.9,0.0806,0.13,437394.72159
2022-01-01 00:30:00,2.0403333333333333,14.0,0.1183,0.12480000000000001,422107.63292
2022-01-01 00:40:00,1.9736666666666667,14.14,0.062400000000000004,0.11050000000000001,406923.8354
2022-01-01 00:50:00,1.9509999999999998,14.38,0.0767,0.1404,394838.77221
2022-01-01 01:00:00,1.8803333333333334,14.540000000000001,0.062400000000000004,0.12480000000000001,384199.78478
2022-01-01 01:10:00,1.832,14.64,0.07150000000000001,0.12090000000000001,374800.29114999995
2022-01-01 01:20:00,1.8926666666666667,14.62,0.0858,0.1833,363438.26584
2022-01-01 01:30:00,1.8303333333333331,14.459999999999999,0.0806,0.1443,354968.39239
2022-01-01 01:40:00,1.8386666666666667,14.5,0.0663,0.1404,348461.05062
2022-01-01 01:50:00,1.8236666666666668,14.34,0.0767,0.1638,342470.1646
2022-01-01 02:00:00,1.6863333333333335,14.719999999999999,0.09100000000000001,0.12480000000000001,333277.25310000003
2022-01-01 02:10:00,1.656,14.76,0.09100000000000001,0.17420000000000002,321811.93663999997
2022-01-01 02:20:00,1.6583333333333332,14.780000000000001,0.07150000000000001,0.1976,317783.5823
2022-01-01 02:30:00,1.6323333333333334,14.819999999999999,0.09100000000000001,0.12480000000000001,314581.55699
2022-01-01 02:40:00,1.6733333333333331,14.940000000000001,0.0663,0.17420000000000002,310863.07593
2022-01-01 02:50:00,1.8023333333333333,14.7,0.0806,0.2119,307454.46832000004
2022-01-01 03:00:00,1.7229999999999999,14.580000000000002,0.0858,0.1404,301050.4177
2022-01-01 03:10:00,1.6936666666666669,14.540000000000001,0.0663,0.169,299191.17717
2022-01-01 03:20:00,1.6803333333333335,14.440000000000001,0.0806,0.1976,297022.06336000003
2022-01-01 03:30:00,1.678,14.38,0.0663,0.2405,297022.06336000003
